Track_id,Gene_Name,Locus,Strand,Gene_Type,Metric,Dataset,GDM001,GDM002,GDM003,GDM004,NEG001,NEG002,NEG003,NEG004
ENSG00000001631.15_3,KRIT1,chr7:91828283-91875480,-,protein_coding,FPKM,GSE154430,5.623814445,4.831557193,5.139366262,5.393940523,6.984930249,5.94886318,6.883238887,7.35661809
ENSG00000002016.17_3,RAD52,chr12:1021243-1099219,-,protein_coding,FPKM,GSE154431,2.311956356,1.340388053,1.644714369,1.770987605,2.433397239,1.841264684,2.424872962,2.187314274
ENSG00000002330.13_2,BAD,chr11:64037302-64052176,-,protein_coding,FPKM,GSE154432,21.45361196,19.09741167,17.75105714,25.86508802,19.83386778,22.66692163,20.51296723,22.61291647
ENSG00000002549.12_2,LAP3,chr4:17578815-17609595,+,protein_coding,FPKM,GSE154433,13.25265202,7.281549748,15.49061127,7.936701387,18.43318008,14.43970196,14.43451536,14.56443345
ENSG00000002586.18_3,CD99,chrX:2609220-2659350,+,protein_coding,FPKM,GSE154434,15.49022362,14.45617116,22.94971671,12.95890533,27.7016723,19.66917441,14.88089506,14.4980119
ENSG00000002726.20_3,AOC1,chr7:150521715-150558592,+,protein_coding,FPKM,GSE154435,22.21621183,32.09258928,216.022279,57.39234002,20.3249142,55.35797784,12.47473268,17.65052404
ENSG00000002822.15_3,MAD1L1,chr7:1855429-2272878,-,protein_coding,FPKM,GSE154436,1.420877811,1.193161548,1.688079553,1.251134234,1.320909108,1.3850868,1.291176053,1.251167279
ENSG00000002834.17_3,LASP1,chr17:37026112-37078023,+,protein_coding,FPKM,GSE154437,11.00441703,4.417826789,9.125099245,4.291415607,11.38870352,5.707877196,18.91817293,13.09965608
ENSG00000002919.14_2,SNX11,chr17:46180719-46200436,+,protein_coding,FPKM,GSE154438,4.245885452,3.282262877,4.132248557,4.381052776,3.861598004,3.96624285,5.006426056,4.363255515
ENSG00000002933.7_3,TMEM176A,chr7:150497491-150502208,+,protein_coding,FPKM,GSE154439,3.966081677,1.993654828,5.610841368,1.12606964,4.667805768,6.896057227,4.592924121,4.220427111
ENSG00000003056.3,M6PR,chr12:9092959-9102551,-,protein_coding,FPKM,GSE154440,8.488810544,8.919867106,8.711425639,7.806683745,9.862880184,14.44231389,9.589198139,8.516639691
ENSG00000003137.8_2,CYP26B1,chr2:72356367-72375167,-,protein_coding,FPKM,GSE154441,1.62878304,0.937702977,3.311885888,1.579460149,2.708068819,0.919753068,2.030879623,1.177689279
ENSG00000003147.17_2,ICA1,chr7:8152814-8302317,-,protein_coding,FPKM,GSE154442,2.724809812,0.954299125,1.736026129,1.742855668,4.365446362,3.048473043,2.347967473,2.29316781
ENSG00000003393.14_3,ALS2,chr2:202565277-202645912,-,protein_coding,FPKM,GSE154443,2.443974165,1.778181035,2.465976821,1.652590599,2.440718115,2.333355195,2.118229626,2.196168247
ENSG00000003400.14_4,CASP10,chr2:202047604-202094129,+,protein_coding,FPKM,GSE154444,1.788027449,1.227733788,0.453482733,1.646555564,2.594035479,1.978156829,3.166925451,0.576571611
ENSG00000003402.19_3,CFLAR,chr2:201980827-202041410,+,protein_coding,FPKM,GSE154445,7.347091991,2.313312702,6.033454366,6.778019904,6.821985297,7.522220879,8.765404477,7.170731984
ENSG00000003436.15_3,TFPI,chr2:188328957-188430487,-,protein_coding,FPKM,GSE154446,83.83453478,109.2296227,54.74461868,75.44597968,57.28081795,61.29278488,62.39959799,86.20619877
ENSG00000003509.15_2,NDUFAF7,chr2:37458774-37480546,+,protein_coding,FPKM,GSE154447,3.262744186,2.984247827,3.957945397,3.02913691,3.922100649,3.124916485,3.012139647,3.297945146
ENSG00000003756.16_3,RBM5,chr3:50126341-50156454,+,protein_coding,FPKM,GSE154448,14.85132669,12.31086164,11.51777349,14.65045701,20.27085853,15.3310298,13.96271069,16.38416233
ENSG00000003987.13_2,MTMR7,chr8:17155539-17271037,-,protein_coding,FPKM,GSE154449,2.779859824,1.793493463,1.873529815,1.489744411,1.56236172,1.417935176,1.689418192,1.200329827
ENSG00000003989.17_4,SLC7A2,chr8:17354597-17428082,+,protein_coding,FPKM,GSE154450,30.09571186,79.13590421,30.67971952,72.00539961,43.45429745,54.27240725,65.70018799,74.90671079
ENSG00000004059.10_4,ARF5,chr7:127228399-127231759,+,protein_coding,FPKM,GSE154451,24.07731386,23.18254609,24.03945498,20.34610806,25.91070768,27.02312794,23.07289022,23.59711355
ENSG00000004142.11_2,POLDIP2,chr17:26674203-26684545,-,protein_coding,FPKM,GSE154452,17.81268382,15.22565942,19.15118437,16.68389571,18.17727711,16.43319875,18.84799509,15.39655868
ENSG00000004399.12_3,PLXND1,chr3:129274018-129325661,-,protein_coding,FPKM,GSE154453,12.6062119,7.954333918,12.98073183,11.13973347,12.13742305,13.33385584,15.73420343,10.91048734
ENSG00000004455.16_2,AK2,chr1:33473541-33546597,-,protein_coding,FPKM,GSE154454,10.73877861,10.43295316,10.73404934,10.37767709,11.56743611,11.50606302,11.05358582,12.23267902
ENSG00000004478.7_2,FKBP4,chr12:2904119-2914589,+,protein_coding,FPKM,GSE154455,17.09887695,17.62164779,20.63866917,19.21576739,17.31463596,23.07864213,18.1619876,21.42734577
ENSG00000004487.15_3,KDM1A,chr1:23345941-23410182,+,protein_coding,FPKM,GSE154456,5.029558418,4.749009138,7.993902257,5.287101827,7.513380203,6.523371778,6.390944119,5.54009738
ENSG00000004534.14_3,RBM6,chr3:49977440-50137478,+,protein_coding,FPKM,GSE154457,10.6642804,9.967549993,9.897071661,12.63646709,17.60410056,9.789973219,10.60740004,10.01679976
ENSG00000004700.15_3,RECQL,chr12:21621845-21654603,-,protein_coding,FPKM,GSE154458,8.637128101,7.308376072,9.567502358,7.629293109,10.58111089,9.333443125,10.37712447,9.09622316
ENSG00000004766.15_2,VPS50,chr7:92861653-92990433,+,protein_coding,FPKM,GSE154459,1.660453675,1.567653447,1.835040646,1.650544938,2.227329306,1.701229184,2.05883691,1.610365344
ENSG00000004776.12_2,HSPB6,chr19:36245470-36248980,-,protein_coding,FPKM,GSE154460,2.934571432,2.328665605,25.0557187,9.170784093,6.020216273,5.747455201,7.365197984,4.061057938
ENSG00000004777.18_3,ARHGAP33,chr19:36265434-36279724,+,protein_coding,FPKM,GSE154461,0.405059805,0.205317824,0.265101295,0.316546502,0.65981675,0.595346094,0.519739583,0.257768529
ENSG00000004779.9_2,NDUFAB1,chr16:23592323-23607677,-,protein_coding,FPKM,GSE154462,17.35132374,17.05629474,19.53711289,18.29726547,20.85932813,23.19842438,18.53023204,20.45707835
ENSG00000004799.7_2,PDK4,chr7:95212811-95225803,-,protein_coding,FPKM,GSE154463,28.209256,41.05905704,22.00566766,32.12384566,38.33106135,43.22598731,35.40830893,42.81176486
ENSG00000004864.13_2,SLC25A13,chr7:95749532-95951459,-,protein_coding,FPKM,GSE154464,5.341531457,4.921217134,5.468827416,4.460169504,7.278404732,5.997521924,6.174162362,5.668907846
ENSG00000004866.20_3,ST7,chr7:116593292-116870157,+,protein_coding,FPKM,GSE154465,7.267047907,5.817030125,6.062261981,6.894613889,7.725741799,6.023901757,6.869125813,6.78456858
ENSG00000004897.11_3,CDC27,chr17:45195069-45266788,-,protein_coding,FPKM,GSE154466,7.463345585,6.39601112,7.498014721,6.95951537,7.669802152,8.977595705,8.786548937,8.539925887
ENSG00000004939.13_2,SLC4A1,chr17:42325753-42345509,-,protein_coding,FPKM,GSE154467,2.205280437,12.93043735,2.437174128,2.278946561,5.491243447,1.188149762,5.298497045,0.604680449
ENSG00000004948.13_3,CALCR,chr7:93053799-93204042,-,protein_coding,FPKM,GSE154468,0.600343458,0.855191489,0.608605718,1.055751463,1.90465046,0.614493376,0.871753773,1.132867553
ENSG00000004961.14_2,HCCS,chrX:11129421-11141198,+,protein_coding,FPKM,GSE154469,5.966975522,6.851090424,6.654467922,7.226369958,6.958068645,8.841456988,7.536324406,6.60520009
ENSG00000004975.11_2,DVL2,chr17:7128660-7137864,-,protein_coding,FPKM,GSE154470,6.032727803,5.86818674,5.949104611,5.892304842,5.349059645,5.177205246,4.746935802,7.205925771
ENSG00000005001.9_2,PRSS22,chr16:2902728-2908171,-,protein_coding,FPKM,GSE154471,2.284824096,1.961859314,3.015576597,1.442979176,2.378255648,1.252654724,1.112895676,0.309925295
ENSG00000005007.12_2,UPF1,chr19:18942747-18979045,+,protein_coding,FPKM,GSE154472,17.42154715,18.32665274,15.299652,16.38619537,14.35036919,16.04870839,13.9427528,16.28460905
ENSG00000005020.12_3,SKAP2,chr7:26706681-27034858,-,protein_coding,FPKM,GSE154473,3.091850024,2.732715217,4.354744926,2.412113989,2.739921383,2.637708022,2.845452084,2.39798682
ENSG00000005022.5_2,SLC25A5,chrX:118602363-118605282,+,protein_coding,FPKM,GSE154474,95.50746697,95.3325102,65.46084058,75.63215468,75.35159005,98.80628434,79.13062949,83.26735263
ENSG00000005059.15_3,MCUB,chr4:110481361-110609882,+,protein_coding,FPKM,GSE154475,4.424331152,3.173141263,3.019135298,3.273355812,4.199912788,4.458941605,4.045503621,4.585429869
ENSG00000005073.5_2,HOXA11,chr7:27221129-27224842,-,protein_coding,FPKM,GSE154476,3.072281103,0.896781944,4.287437505,2.964341405,4.970110016,5.06502065,3.429006853,4.191891323
ENSG00000005075.15_2,POLR2J,chr7:102113565-102119354,-,protein_coding,FPKM,GSE154477,23.94500009,21.52972977,16.97606117,19.32813346,24.79434868,24.05668484,17.96542589,20.89939787
ENSG00000005100.12_3,DHX33,chr17:5344232-5372380,-,protein_coding,FPKM,GSE154478,3.126026866,3.070717662,3.551478499,3.697320326,3.615889585,3.001845894,3.244542813,3.429951808
ENSG00000005108.15_3,THSD7A,chr7:11409984-11871824,-,protein_coding,FPKM,GSE154479,20.9152037,21.55451384,17.96217336,30.0581243,14.99767,14.00145672,17.57446705,26.66508834
ENSG00000005156.11_3,LIG3,chr17:33307513-33336762,+,protein_coding,FPKM,GSE154480,3.18369413,3.445285274,2.659983222,2.896362585,2.933504366,3.459659007,2.940975212,3.00508507
ENSG00000005175.9_3,RPAP3,chr12:48055032-48099844,-,protein_coding,FPKM,GSE154481,3.25848146,2.47477344,3.178139801,2.910408839,3.498872458,3.540873317,3.333878322,3.276914421
ENSG00000005194.14_3,CIAPIN1,chr16:57462081-57481440,-,protein_coding,FPKM,GSE154482,5.472744645,7.822659347,7.043889436,7.171518372,8.514752488,6.038570404,8.031988386,8.114213697
ENSG00000005206.16_1,SPPL2B,chr19:2328614-2354804,+,protein_coding,FPKM,GSE154483,6.903932094,4.753247109,5.324670161,6.286684025,8.438868617,6.171490483,5.083840914,4.761550546
ENSG00000005238.19_2,FAM214B,chr9:35104109-35116338,-,protein_coding,FPKM,GSE154484,7.289669234,7.572321136,2.393107872,3.259646271,4.187928344,4.106980783,5.690082791,4.435056042
ENSG00000005243.9_3,COPZ2,chr17:46103533-46115392,-,protein_coding,FPKM,GSE154485,1.053342914,0.717244593,3.647646152,1.672741341,2.065321787,2.539183476,2.079061964,2.672460257
ENSG00000005249.12_2,PRKAR2B,chr7:106685094-106802256,+,protein_coding,FPKM,GSE154486,10.02223006,10.36805023,10.07197802,12.37220507,11.8144299,13.41246338,15.91521444,10.62919716
ENSG00000005302.17_3,MSL3,chrX:11776278-11793872,+,protein_coding,FPKM,GSE154487,3.903920442,3.199052918,4.142653394,4.121094727,4.233427702,3.252232051,3.845622501,3.751962882
ENSG00000005339.14_3,CREBBP,chr16:3775055-3930727,-,protein_coding,FPKM,GSE154488,6.28338408,5.666568525,5.641322878,5.933036175,5.765684834,6.202104361,5.039645316,5.6040026
ENSG00000005436.13_3,GCFC2,chr2:75879126-75938115,-,protein_coding,FPKM,GSE154489,3.959059459,2.51220258,3.157570042,2.943772471,4.187008901,4.41372807,4.122198828,3.358437953
ENSG00000005448.16_2,WDR54,chr2:74648805-74652882,+,protein_coding,FPKM,GSE154490,0.55361896,0.29498107,0.845432378,0.426790559,0.51962834,0.482428981,1.021545092,0.242181276
ENSG00000005469.11_2,CROT,chr7:86974997-87029111,+,protein_coding,FPKM,GSE154491,4.948551765,3.871321878,5.659567027,4.39481637,9.26484133,4.690214909,5.798668836,4.166355303
ENSG00000005483.20_3,KMT2E,chr7:104654626-104754808,+,protein_coding,FPKM,GSE154492,8.123946118,7.368214874,8.937588501,7.884198321,10.3451391,6.642992908,8.713826576,7.639136416
ENSG00000005486.16_2,RHBDD2,chr7:75471920-75518244,+,protein_coding,FPKM,GSE154493,21.73298701,17.80389528,14.46831278,15.49126519,11.07578795,14.3305885,16.95164026,12.13218326
ENSG00000005700.14_2,IBTK,chr6:82879700-82957471,-,protein_coding,FPKM,GSE154494,3.812191625,3.321199503,4.030944489,3.569244316,3.634409726,4.004263622,4.149236895,2.45327551
ENSG00000005801.16_3,ZNF195,chr11:3360491-3400452,-,protein_coding,FPKM,GSE154495,1.995571955,0.844629606,1.304984688,1.707356462,2.942485545,1.32609844,0.913963341,1.246561776
ENSG00000005810.17_1,MYCBP2,chr13:77618790-77901185,-,protein_coding,FPKM,GSE154496,3.360533747,3.602570121,3.85616824,3.319159079,3.810524711,3.263239188,3.818021638,3.468795537
ENSG00000005812.10_3,FBXL3,chr13:77566733-77601330,-,protein_coding,FPKM,GSE154497,12.50806877,13.02578252,11.73383661,11.89399247,9.927524226,11.70548383,11.53683593,13.23325572
ENSG00000005844.17_3,ITGAL,chr16:30483979-30534506,+,protein_coding,FPKM,GSE154498,1.128330835,0.578137443,1.165487657,0.598245522,0.618435409,0.475999249,1.034763743,0.532248384
ENSG00000005882.11_4,PDK2,chr17:48172101-48189516,+,protein_coding,FPKM,GSE154499,1.366502742,1.169662168,1.520166021,1.405197501,1.947117157,2.675967346,1.388464543,5.313345809
ENSG00000005884.17_2,ITGA3,chr17:48133332-48167845,+,protein_coding,FPKM,GSE154500,14.54978739,14.63753455,9.470392267,10.68889253,8.495917783,10.60072967,12.43894607,9.584541181
ENSG00000005889.15_2,ZFX,chrX:24167290-24234372,+,protein_coding,FPKM,GSE154501,7.438630867,4.753565728,5.813718069,8.108075711,5.415825882,5.678613758,8.298390234,7.688931938
ENSG00000005893.15_2,LAMP2,chrX:119561682-119603220,-,protein_coding,FPKM,GSE154502,43.23533792,40.53145253,33.80242947,36.29633514,27.68685554,39.30597332,32.86689406,38.68841797
ENSG00000006007.11_2,GDE1,chr16:19513011-19533467,-,protein_coding,FPKM,GSE154503,12.68200499,10.36447293,20.84631229,11.38882282,16.36183483,14.99512391,11.88846665,11.29901964
ENSG00000006015.17_3,C19orf60,chr19:18699495-18703146,+,protein_coding,FPKM,GSE154504,3.548104638,2.600348717,3.990259979,3.120951992,5.212247177,4.118988539,3.19505301,3.599130791
ENSG00000006016.10_2,CRLF1,chr19:18683030-18718551,-,protein_coding,FPKM,GSE154505,0.930264332,0.304805012,6.411355097,1.431664175,0.632279325,1.115182993,1.601163433,0.4643958
ENSG00000006025.11_3,OSBPL7,chr17:45884738-45899200,-,protein_coding,FPKM,GSE154506,0.263455363,0.180819455,0.402926291,0.400131753,0.564813832,0.515998908,0.849581497,0.40181237
ENSG00000006042.11_2,TMEM98,chr17:31254928-31272124,+,protein_coding,FPKM,GSE154507,0.955859394,0.495154248,1.092034309,1.201424483,1.621351502,2.322387719,1.86875852,1.97701038
ENSG00000006062.14_2,MAP3K14,chr17:43340488-43394406,-,protein_coding,FPKM,GSE154508,0.665615499,0.791966249,1.449021698,0.737971754,1.375800464,0.862936803,1.172049515,0.848531012
ENSG00000006118.14_4,TMEM132A,chr11:60691935-60704631,+,protein_coding,FPKM,GSE154509,11.56611431,11.55636029,7.333431504,20.37715648,9.027540731,13.00248335,9.119722858,12.02440848
ENSG00000006125.17_4,AP2B1,chr17:33905065-34053428,+,protein_coding,FPKM,GSE154510,6.372286466,6.038919918,10.74893357,11.60796207,5.14338705,14.60554545,14.21717884,12.29186103
ENSG00000006194.9_3,ZNF263,chr16:3313800-3351401,+,protein_coding,FPKM,GSE154511,3.205444626,2.010236649,3.003292722,2.838619803,2.339375964,1.81648625,3.009602187,3.076191442
ENSG00000006210.6_2,CX3CL1,chr16:57406370-57418960,+,protein_coding,FPKM,GSE154512,0.461292999,0.553437761,1.282395922,0.873174971,0.73531108,0.576397653,1.378925899,0.428885806
ENSG00000006282.20_3,SPATA20,chr17:48620419-48633213,+,protein_coding,FPKM,GSE154513,3.168116447,2.322070647,3.361145639,2.155558936,3.432440247,3.072604637,2.362296338,1.905643891
ENSG00000006327.13_2,TNFRSF12A,chr16:3068446-3072384,+,protein_coding,FPKM,GSE154514,54.49383843,29.41662856,44.15855027,57.76578594,29.27119531,57.08613478,28.90574489,63.54859891
ENSG00000006377.10_2,DLX6,chr7:96634860-96640351,+,protein_coding,FPKM,GSE154515,2.848384304,4.187638401,3.523851422,3.354330751,3.860018082,3.870003901,2.889267013,4.118685886
ENSG00000006432.15_3,MAP3K9,chr14:71189243-71276251,-,protein_coding,FPKM,GSE154516,2.15784637,2.449799336,2.649278948,0.753475677,1.906243645,1.2402354,2.125425888,1.600913953
ENSG00000006451.7_3,RALA,chr7:39663082-39747723,+,protein_coding,FPKM,GSE154517,12.67060564,12.64109966,15.16299862,13.93510219,16.15516913,15.71811023,16.95717563,15.26003379
ENSG00000006453.13_3,BAIAP2L1,chr7:97920963-98030380,-,protein_coding,FPKM,GSE154518,8.412367735,8.837960406,6.813072568,7.014633067,5.903560529,6.485399513,6.847371999,4.840925505
ENSG00000006459.10_2,KDM7A,chr7:139784546-139876835,-,protein_coding,FPKM,GSE154519,11.53798235,15.23278949,6.864943174,10.40730717,9.205716229,9.559519288,10.44398129,10.44171446
ENSG00000006468.13_2,ETV1,chr7:13930853-14031050,-,protein_coding,FPKM,GSE154520,0.316702502,0.115346801,0.239198858,0.317164202,0.506326963,0.598132211,0.668891586,0.357147033
ENSG00000006530.15_2,AGK,chr7:141250989-141355044,+,protein_coding,FPKM,GSE154521,0.935314436,0.711766939,0.97100968,0.718158218,1.075786502,1.166112793,1.08643984,0.818862716
ENSG00000006534.15_2,ALDH3B1,chr11:67776048-67796749,+,protein_coding,FPKM,GSE154522,0.731331617,0.527372402,2.49663125,0.925869388,1.502219978,1.347348643,0.700105582,1.133210254
ENSG00000006576.16_2,PHTF2,chr7:77428109-77586820,+,protein_coding,FPKM,GSE154523,2.638915389,2.276315903,1.498007889,2.485203159,1.193501458,2.000615091,1.461006997,2.522171716
ENSG00000006607.13_3,FARP2,chr2:242295658-242434256,+,protein_coding,FPKM,GSE154524,1.965442104,1.516152773,1.718927608,1.767019775,1.750057909,1.719745086,2.014090352,1.97374691
ENSG00000006625.17_3,GGCT,chr7:30536237-30544460,-,protein_coding,FPKM,GSE154525,12.78974751,6.32164966,16.23935062,12.66203418,7.741463206,21.6941509,19.23216852,11.9083032
ENSG00000006634.7_2,DBF4,chr7:87505531-87538856,+,protein_coding,FPKM,GSE154526,0.315878413,0.25940517,0.394485383,0.338515037,1.529764266,0.41679074,0.366159507,0.341077096
ENSG00000006638.11_2,TBXA2R,chr19:3594504-3606838,-,protein_coding,FPKM,GSE154527,1.357559439,1.019147199,1.570889068,1.128978235,1.77786214,1.020175482,2.545051623,1.328807098
ENSG00000006652.13_3,IFRD1,chr7:112063023-112121072,+,protein_coding,FPKM,GSE154528,4.158318639,9.302788714,5.901290376,4.326454555,7.021294438,8.189528655,6.55389947,4.399135115
ENSG00000006659.12_2,LGALS14,chr19:40194946-40200084,+,protein_coding,FPKM,GSE154529,139.4589857,305.1538337,111.2360167,176.2673845,357.7519498,312.6145586,193.2224462,312.4436018
ENSG00000006695.10_2,COX10,chr17:13972813-14111994,+,protein_coding,FPKM,GSE154530,2.974717292,3.767388858,3.177092199,3.322552661,3.990471161,3.18626034,3.259588601,4.240620327
ENSG00000006704.10_3,GTF2IRD1,chr7:73868120-74016930,+,protein_coding,FPKM,GSE154531,0.707913237,0.366652252,0.931735169,0.597927163,1.004574492,0.636326033,0.934620469,0.913010416
ENSG00000006712.14_3,PAF1,chr19:39876492-39881835,-,protein_coding,FPKM,GSE154532,17.12447678,16.95422255,14.84211916,17.99852724,16.35773837,17.2107679,15.1206304,17.08091235
ENSG00000006715.15_3,VPS41,chr7:38762563-38971994,-,protein_coding,FPKM,GSE154533,6.746537868,6.695364451,6.529728288,6.247464388,7.393609021,6.905933368,6.417405966,6.856723016
ENSG00000006740.16_2,ARHGAP44,chr17:12692856-12894960,+,protein_coding,FPKM,GSE154534,1.685733436,0.834114661,1.56843445,1.767855112,2.17338936,2.410632942,2.786446714,1.649662652
ENSG00000006744.18_3,ELAC2,chr17:12895708-12921504,-,protein_coding,FPKM,GSE154535,4.573544002,4.489947469,5.819482662,5.834047107,5.439169808,5.529883551,4.250199432,4.047141878
ENSG00000006747.14_2,SCIN,chr7:12610203-12699804,+,protein_coding,FPKM,GSE154536,10.18420423,6.840020283,9.322346009,7.279528871,9.477542265,6.733850032,7.147495992,11.89298873
ENSG00000006756.15_2,ARSD,chrX:2822011-2847392,-,protein_coding,FPKM,GSE154537,2.672175815,8.219557072,9.173807341,9.562470039,8.602351805,8.399176273,10.33129313,14.15943138
ENSG00000006757.11_2,PNPLA4,chrX:7866288-7895780,-,protein_coding,FPKM,GSE154538,1.499748829,1.500463996,1.843651513,1.382824737,1.843569504,1.648015905,1.610997002,1.24580847
ENSG00000006831.9_2,ADIPOR2,chr12:1797740-1897844,+,protein_coding,FPKM,GSE154539,10.05759168,11.90201581,10.31895289,10.95432246,9.80835566,10.41032778,11.94530036,9.87907049
ENSG00000007047.14_3,MARK4,chr19:45582546-45808541,+,protein_coding,FPKM,GSE154540,1.302362478,0.783240946,1.592045793,1.271697932,1.890485647,1.964170006,1.808671667,1.046872987
ENSG00000007062.11_3,PROM1,chr4:15964699-16086001,-,protein_coding,FPKM,GSE154541,3.902995952,1.456233113,2.379762864,1.556682933,5.104299503,4.205701185,5.329257051,5.084074725
ENSG00000007080.10_2,CCDC124,chr19:18043825-18054800,+,protein_coding,FPKM,GSE154542,15.28813652,15.17425008,16.63497072,14.02277759,16.77728322,16.20396004,13.36090004,14.57689763
ENSG00000007129.17_3,CEACAM21,chr19:42055886-42093197,+,protein_coding,FPKM,GSE154543,0.63882732,0.597908852,0.89150054,0.425203597,1.450947524,0.754300988,0.691547727,0.556597809
ENSG00000007168.12_3,PAFAH1B1,chr17:2496504-2588909,+,protein_coding,FPKM,GSE154544,16.72342973,16.30852505,16.92509638,18.8325328,16.92237262,16.7702691,16.77371106,18.09193467
ENSG00000007202.14_3,KIAA0100,chr17:26941458-26972472,-,protein_coding,FPKM,GSE154545,23.86897027,25.06681978,20.61467843,23.03868274,14.85127104,13.85034178,17.95180664,20.26140165
ENSG00000007237.18_3,GAS7,chr17:9813926-10101868,-,protein_coding,FPKM,GSE154546,3.579276275,3.469970796,5.239507919,4.668636957,3.16709859,4.237916399,3.275294758,3.837881599
ENSG00000007255.10_2,TRAPPC6A,chr19:45666186-45681495,-,protein_coding,FPKM,GSE154547,8.787870727,8.150514896,9.227157169,8.921550749,9.694971936,9.895102458,6.501719928,8.362358998
ENSG00000007312.12_2,CD79B,chr17:62006100-62009714,-,protein_coding,FPKM,GSE154548,1.504160186,0.902427018,0.582199598,0.951021401,1.279231296,0.870653654,0.583956765,0.935875372
ENSG00000007341.18_2,ST7L,chr1:113066140-113163447,-,protein_coding,FPKM,GSE154549,1.287006969,0.903219849,1.586457166,1.160351006,1.595983252,1.629906102,1.256650106,1.127892438
ENSG00000007376.7_2,RPUSD1,chr16:834974-838397,-,protein_coding,FPKM,GSE154550,2.334166071,1.677465293,1.894055442,2.006607625,2.059302267,1.863470189,2.128482687,1.717747233
ENSG00000007384.15_2,RHBDF1,chr16:108058-126354,-,protein_coding,FPKM,GSE154551,9.862826683,8.380671484,12.29162802,9.453421021,16.7014019,15.15123541,12.00768373,9.373761663
ENSG00000007392.16_3,LUC7L,chr16:238968-279462,-,protein_coding,FPKM,GSE154552,9.414821697,6.537006823,8.092934688,7.888372969,11.54860862,6.711306096,7.270418252,8.885627172
ENSG00000007516.13_4,BAIAP3,chr16:1383602-1399442,+,protein_coding,FPKM,GSE154553,0.602439172,0.381984494,0.839003167,0.755795501,1.202929055,0.805006431,1.086955518,0.618956179
ENSG00000007520.3_2,TSR3,chr16:1399241-1401912,-,protein_coding,FPKM,GSE154554,24.49517604,24.74872958,24.58349819,25.43846043,23.10346,23.15227125,24.81308433,23.84159483
